0.05[um],0.1[um],0.15[um],
-6.683320439153102E-5i,-7.196413274576961E-5i,-7.784141832968588E-5i,
-7.725585393708973E-5i,-8.29894586026935E-5i,-8.953073266374837E-5i,
-8.90050310987556E-5i,-9.538779512426005E-5i,-1.0264101935559686E-4i,
-1.0220624411633158E-4i,-1.0928519258724401E-4i,-1.1729850939522804E-4i,
-1.169916086491715E-4i,-1.2481394158955192E-4i,-1.3363527508888071E-4i,
-1.3349967050781987E-4i,-1.421123666586493E-4i,-1.517889984478939E-4i,
-1.5187518038248092E-4i,-1.613245754403804E-4i,-1.7190269931588288E-4i,
-1.7226882266458226E-4i,-1.826001661095648E-4i,-1.9412442634369464E-4i,
-1.9483690130950564E-4i,-2.0609389638464847E-4i,-2.186069145128947E-4i,
-2.1974098644203353E-4i,-2.3196531825947812E-4i,-2.455072136165975E-4i,
-2.471475262139103E-4i,-2.603783831734669E-4i,-2.7498629254969054E-4i,
-2.772274290120343E-4i,-2.9150102294065583E-4i,-3.072086247757635E-4i,
-3.101556217720015E-4i,-3.255047121960275E-4i,-3.4234176067364063E-4i,
-3.461105905854181E-4i,-3.6256401853966086E-4i,-3.805558927476496E-4i,
-3.852739102202503E-4i,-4.028561467628922E-4i,-4.2202341982481185E-4i,
-4.2782976939199105E-4i,-4.465604837895017E-4i,-4.6691851649116904E-4i,
-4.739644988359428E-4i,-4.938581509629662E-4i,-5.154167139599915E-4i,
-5.238661092571436E-4i,-5.449315703322531E-4i,-5.676944984590178E-4i,
