% Model,hex structure V4 - GeAsS.mph
% Version,COMSOL 6.3.0.290
% Date,"May 31 2026, 12:13"
% Table,Table 1 - Global Evaluation 1
% wl,hang (m),r (m),Effective mode index (1),real(ewfd.neff) (1),Aeff (m^2)
3.1,1.0E-7,2.0E-6,2.5796610724602114-0.04738504326269815i,2.5796610724602114,6.714971913938666E-11
3.1,1.0E-7,2.0E-6,2.5840669399577707-0.1388609218823554i,2.5840669399577707,6.892086992140581E-11
3.1,1.0E-7,2.0E-6,2.5840674447168874-0.13886234292741106i,2.5840674447168874,6.892154407336154E-11
3.1,1.0E-7,2.0E-6,2.586188688720961-0.04607854138577168i,2.586188688720961,6.710352719637443E-11
3.1,1.0E-7,2.0E-6,2.5861887109016495-0.04607857131248692i,2.5861887109016495,6.710366190466979E-11
3.1,1.0E-7,2.0E-6,2.5878666592134607-0.1382548043286149i,2.5878666592134607,6.922633349479209E-11
3.1,1.0E-7,2.0E-6,2.587866919191815-0.13825558490071366i,2.587866919191815,6.922702058635661E-11
3.1,1.0E-7,2.0E-6,2.5907066029513355-0.13762468340923817i,2.5907066029513355,6.858518181547837E-11
3.1,1.0E-7,2.0E-6,2.590916210708773-0.13796447452402077i,2.590916210708773,6.855606175825782E-11
3.1,1.0E-7,2.0E-6,2.592047467898306-0.04503210810015621i,2.592047467898306,6.706677233102427E-11
3.1,1.0E-7,2.0E-6,2.592047507288752-0.04503214769689514i,2.592047507288752,6.706694413908247E-11
3.1,1.0E-7,2.0E-6,2.5929110873554597-0.13746833534273123i,2.5929110873554597,6.929689823152996E-11
3.1,1.0E-7,2.0E-6,2.5929112284800993-0.13746861327933788i,2.5929112284800993,6.929716922555773E-11
3.1,1.0E-7,2.0E-6,2.594174855571036-0.13726594430763006i,2.594174855571036,5.1306109707572666E-11
3.1,1.0E-7,2.0E-6,2.59417516009587-0.13726685389489626i,2.59417516009587,5.1309843312006596E-11
3.1,1.0E-7,2.0E-6,2.5945958356814645-0.13719953305136726i,2.5945958356814645,1.495279844365724E-12
3.1,1.0E-7,2.0E-6,2.5969909273026395-0.04401238998070442i,2.5969909273026395,6.755697973795315E-11
3.1,1.0E-7,2.0E-6,2.5972363835783163-0.04425535802090557i,2.5972363835783163,6.702373745840787E-11
3.1,1.0E-7,2.0E-6,2.6013927094846023-0.043376618798152924i,2.6013927094846023,6.698800860061469E-11
3.1,1.0E-7,2.0E-6,2.6013927552022102-0.04337667363057206i,2.6013927552022102,6.698808438408578E-11
3.1,1.0E-7,2.0E-6,2.6048896280211777-0.042752811625106586i,2.6048896280211777,6.722139786142122E-11
3.1,1.0E-7,2.0E-6,2.60488964573694-0.04275283575368878i,2.60488964573694,6.722143201533266E-11
3.1,1.0E-7,2.0E-6,2.6074856989151534-0.042158914949764946i,2.6074856989151534,6.787488549258283E-11
3.1,1.0E-7,2.0E-6,2.607723662341313-0.042396590339043014i,2.607723662341313,6.69769448594727E-11
3.1,1.0E-7,2.0E-6,2.6095419490464096-0.04194094812086059i,2.6095419490464096,7.735810771077151E-11
3.1,1.0E-7,2.0E-6,2.6095419511998474-0.041940950377432645i,2.6095419511998474,7.735775932074786E-11
3.1,1.0E-7,2.0E-6,2.6107047048480423-0.0417328131329992i,2.6107047048480423,6.683807468226972E-11
3.1,1.0E-7,2.0E-6,2.6107047378496073-0.04173285260966163i,2.6107047378496073,6.683726449044824E-11
3.1,1.0E-7,2.0E-6,2.6110921298481995-0.041663899394656825i,2.6110921298481995,1.0025950074162436E-10
3.1,1.5E-7,2.0E-6,2.4965339152201973-0.062255794926783285i,2.4965339152201973,6.777469475243882E-11
3.1,1.5E-7,2.0E-6,2.4965360400695396-0.06225547769765062i,2.4965360400695396,6.777621875435675E-11
3.1,1.5E-7,2.0E-6,2.5098793880699106-0.059793627500669785i,2.5098793880699106,6.769178208936162E-11
3.1,1.5E-7,2.0E-6,2.509880879573051-0.059793385207027074i,2.509880879573051,6.769288075612535E-11
3.1,1.5E-7,2.0E-6,2.522123810873208-0.057335954440770165i,2.522123810873208,6.808510395247036E-11
